((('cue', (0.11245595349932312, 0.47427870741977574)), ('yellow', (0.9192109328653595, 0.6874222411368218)), ('blue', (0.2835435450491415, 1.6535865358303279)), ('red', (0.8130467582776302, 1.0860099813083968))), 'pot blue ball into top_right pocket directly')
((('cue', (0.0747806756816846, 0.8196930167275168)), ('yellow', (0.6299082495762558, 0.14583873965574537)), ('red', (0.0434479560094174, 1.9317918145082913)), ('blue', (0.2541471377027654, 1.8683323759584476))), 'pot red ball into top_right pocket with a bank shot')
((('cue', (0.2797602611594966, 0.6377778314021043)), ('yellow', (0.619988797136564, 1.5464716976961013)), ('blue', (0.24625088015360788, 0.42142717034362764)), ('red', (0.09533020761078376, 0.4536029983264097))), 'pot blue ball into bottom_left pocket indirectly')
((('cue', (0.9489100000348244, 0.17989818169493185)), ('blue', (0.2955423313107107, 1.8792243749878315)), ('red', (0.833326124761182, 1.2268960560631406)), ('yellow', (0.5238977411057341, 1.4354250496426215))), 'pot blue ball into middle_right pocket indirectly')
((('cue', (0.3856865895554239, 0.829286482586983)), ('blue', (0.856440827308821, 1.8804695320000548)), ('yellow', (0.7488745040270341, 1.9263400578517713)), ('red', (0.9153553486354977, 1.7940812466902585))), 'pot red ball into middle_left pocket with a bank shot')
((('cue', (0.6323494063288626, 0.6609081147697291)), ('blue', (0.7127672532742547, 1.6668763701224008)), ('red', (0.5745516144635944, 0.907541427002177)), ('yellow', (0.3318882801230155, 0.22546800418374655))), 'pot blue ball into top_left pocket with a bank shot')
((('cue', (0.6368859844048455, 0.3796376672588728)), ('blue', (0.8199921702562656, 1.2075301688220998)), ('red', (0.4804859336249504, 0.5689735240671709)), ('yellow', (0.45372359310071897, 0.8678918776466813))), 'pot yellow ball into middle_left pocket directly')
((('cue', (0.9106273332408815, 1.8599615051163139)), ('blue', (0.8953933426195773, 1.2729939677884659)), ('red', (0.6899336939608771, 1.2468237920254244)), ('yellow', (0.5169616417307848, 1.1294192436366026))), 'pot red ball into bottom_right pocket directly')
((('cue', (0.46071180604307915, 0.17884163262405886)), ('red', (0.5426515256240871, 1.51105732742205)), ('blue', (0.8061340662642447, 1.1272382632867235)), ('yellow', (0.3575017997658392, 1.656403571614153))), 'pot blue ball into bottom_left pocket with a bank shot')
((('cue', (0.23465707254648546, 0.2976989139422328)), ('yellow', (0.6047434079508017, 0.88723184935166)), ('red', (0.7874797675412857, 1.106271929189843)), ('blue', (0.9473542087459584, 1.854056301828352))), 'pot red ball into bottom_right pocket indirectly')
((('cue', (0.21693878511868592, 0.9201695723138884)), ('blue', (0.7788284973747311, 0.39292478768871597)), ('yellow', (0.8879131020344805, 0.6824523619923436)), ('red', (0.7114242598057027, 1.716250704239587))), 'pot yellow ball into bottom_right pocket directly')
((('cue', (0.39117783205072487, 1.4453711346926827)), ('blue', (0.7210439297134129, 1.0682660528672303)), ('red', (0.5699619059156614, 0.49488792151669836)), ('yellow', (0.5557267924095076, 1.8848868115427855))), 'pot red ball into bottom_right pocket with a bank shot')
((('cue', (0.08267929092972168, 0.47460351660784095)), ('red', (0.06641235957209095, 0.7377368807943453)), ('blue', (0.6776352392183232, 1.6160429311925724)), ('yellow', (0.08545721205978524, 0.8737875754313187))), 'pot red ball into bottom_left pocket indirectly')
((('cue', (0.8938810049150495, 0.3033743064646255)), ('blue', (0.6049176820172978, 1.3255645953043176)), ('yellow', (0.14540355989630416, 0.4557877935548237)), ('red', (0.5203558728744021, 1.3407842892459025))), 'pot yellow ball into bottom_right pocket with a bank shot')
((('cue', (0.8417802223904819, 0.684818645688861)), ('yellow', (0.9753425023536794, 0.5423059084977072)), ('red', (0.9015772187936476, 0.617380870285988)), ('blue', (0.25871720018097666, 0.46999817131149524))), 'pot red ball into top_left pocket with a bank shot')
((('cue', (0.548683583644688, 0.9506813179235315)), ('yellow', (0.04569721449669354, 1.3088139381397803)), ('blue', (0.5118097663712807, 1.6545300296580103)), ('red', (0.8967935111101523, 0.3989595746553367))), 'pot blue ball into top_right pocket indirectly')
((('cue', (0.8485618684884104, 1.5990842313277007)), ('blue', (0.43321680248200156, 0.22676191253604508)), ('yellow', (0.6638615892667732, 1.7970165471657247)), ('red', (0.5081859898252691, 1.0554369876278025))), 'pot blue ball into top_left pocket indirectly')
((('cue', (0.5446776969334959, 0.635971010787001)), ('red', (0.5841110903385986, 1.240435245136687)), ('blue', (0.3702743196241193, 0.8155203696402165)), ('yellow', (0.06994695765505692, 1.3375787083064365))), 'pot red ball into top_left pocket directly')
((('cue', (0.8002732745937083, 1.1768038115786041)), ('yellow', (0.15314675872238526, 1.4153349432238045)), ('red', (0.07810350282854985, 1.7491985169010311)), ('blue', (0.5662171925396253, 0.3305524976285783))), 'pot yellow ball into top_left pocket with a bank shot')
((('cue', (0.5108775797420444, 0.908737830137174)), ('blue', (0.4664781520645901, 1.067543338032832)), ('red', (0.2812380431118982, 1.3815634491314022)), ('yellow', (0.3358020248121707, 0.5260121221383781))), 'pot yellow ball into bottom_right pocket indirectly')
((('cue', (0.6947577708215034, 1.0205095545233047)), ('yellow', (0.9480243958870793, 1.0501515100017846)), ('red', (0.6737077910769937, 1.9319743612828169)), ('blue', (0.5437534608682698, 1.744620559313139))), 'pot red ball into top_right pocket with a bank shot')
((('cue', (0.4071381426200068, 0.8675096387465373)), ('red', (0.9245314489574934, 1.7995720544636602)), ('blue', (0.6723052541400956, 0.36788651161274144)), ('yellow', (0.3351186494348286, 0.09276018442787665))), 'pot yellow ball into bottom_left pocket with a bank shot')
((('cue', (0.8876367540787622, 0.43890675190617223)), ('yellow', (0.5273216872396664, 1.519109651882442)), ('red', (0.517169719077363, 0.4390623013796062)), ('blue', (0.051513454388531874, 0.876476009603768))), 'pot red ball into top_right pocket indirectly')
((('cue', (0.8047037773763982, 1.5032628037247657)), ('red', (0.9722600195922128, 1.2142680681232811)), ('yellow', (0.13068013602750173, 1.2797038124046194)), ('blue', (0.5036594814862649, 1.087964973582223))), 'pot red ball into bottom_right pocket directly')
((('cue', (0.7142859159190663, 1.1924480394036965)), ('blue', (0.22039442769481615, 1.1928309948456801)), ('yellow', (0.6918867752136364, 0.603850223290505)), ('red', (0.49842331713377597, 0.4668254371371273))), 'pot yellow ball into top_left pocket indirectly')
((('cue', (0.6136584387045724, 1.915440471590469)), ('yellow', (0.6422251737244019, 0.8984594365570517)), ('blue', (0.6486951428959783, 0.4729407895352049)), ('red', (0.8830550832832363, 1.0620533592166574))), 'pot yellow ball into middle_left pocket with a bank shot')
((('cue', (0.1886331352686696, 1.9307171661057143)), ('blue', (0.3262251959770046, 0.4359552155949675)), ('red', (0.9376403057551703, 1.8571386574690136)), ('yellow', (0.626601908810012, 1.4729961998453232))), 'pot red ball into bottom_right pocket with a bank shot')
((('cue', (0.447154953952123, 0.5615613172328823)), ('yellow', (0.06983171273771195, 1.629061371268257)), ('red', (0.0974651947673684, 0.7558215205552542)), ('blue', (0.49204434101255223, 1.676396152754595))), 'pot blue ball into top_left pocket directly')
((('cue', (0.14693411996055386, 0.29004830894450995)), ('yellow', (0.44588894140790003, 1.8725439416632892)), ('red', (0.3850103220123451, 1.6892887884089782)), ('blue', (0.7042384926916251, 0.8446997591501095))), 'pot red ball into bottom_left pocket with a bank shot')
((('cue', (0.8908121857750102, 0.45794135420698323)), ('yellow', (0.33379836745077673, 1.8757257969984553)), ('blue', (0.596541407033345, 0.9274389109209626)), ('red', (0.9723593989807255, 1.5725118916999496))), 'pot blue ball into bottom_left pocket indirectly')
((('cue', (0.8588081296077428, 1.5479244896206708)), ('blue', (0.11953494488389046, 1.844834541397395)), ('yellow', (0.07231035857947388, 1.1098219120520136)), ('red', (0.18475272583306962, 1.177968638842952))), 'pot red ball into bottom_left pocket directly')
((('cue', (0.6164912624214712, 1.9306689334719762)), ('yellow', (0.06296935490426467, 1.7790496597766738)), ('blue', (0.13451065975121712, 0.05893978513257253)), ('red', (0.4769112446986994, 0.6298972324956468))), 'pot yellow ball into bottom_left pocket indirectly')
((('cue', (0.24728520496953374, 0.38762884144977905)), ('red', (0.16612767568721193, 0.40464183269995635)), ('yellow', (0.30221267184205736, 1.4477579603378636)), ('blue', (0.35980560936707406, 0.43779177552731185))), 'pot blue ball into bottom_right pocket indirectly')
((('cue', (0.4482651200154253, 1.1216721496937136)), ('yellow', (0.15737459612642826, 0.8643381868108405)), ('red', (0.39822027449776043, 1.5034545754000215)), ('blue', (0.7009758577922319, 0.9916435458005269))), 'pot red ball into bottom_left pocket with a bank shot')
((('cue', (0.17565711220608202, 1.8843473195339353)), ('blue', (0.16558742324055348, 0.6193382692572544)), ('red', (0.6231745524568363, 0.06271017150151051)), ('yellow', (0.8618318459668965, 0.2492364180536771))), 'pot yellow ball into bottom_left pocket indirectly')
((('cue', (0.509202164376657, 0.98206616810824)), ('red', (0.6883004562079341, 1.0773432541784707)), ('blue', (0.6306153239871073, 1.1903012246934017)), ('yellow', (0.18065936873282246, 0.7439448830484642))), 'pot red ball into bottom_right pocket indirectly')
((('cue', (0.8230988809940476, 1.8008798689195078)), ('blue', (0.33495179418309085, 1.2311769438266595)), ('red', (0.7824907260373484, 1.7380502316479505)), ('yellow', (0.9506292088277819, 0.8683205016698683))), 'pot blue ball into top_left pocket indirectly')
((('cue', (0.876061858508789, 1.5118590049641616)), ('red', (0.5941887475042285, 0.6500041376134866)), ('blue', (0.1014082186720165, 0.9011278310210759)), ('yellow', (0.6559675003833458, 0.1084936881061169))), 'pot red ball into top_left pocket indirectly')
((('cue', (0.6872179696910736, 0.05867365565053244)), ('red', (0.5292895079722428, 0.5584263220525268)), ('yellow', (0.3208617666851534, 1.2629557837222014)), ('blue', (0.5910901310570268, 1.3146942254324558))), 'pot blue ball into top_right pocket directly')
((('cue', (0.0851529142417255, 0.3220766215315749)), ('blue', (0.09356461529210561, 0.5776362141463249)), ('red', (0.520223909140645, 0.3126518362594096)), ('yellow', (0.34383132639593195, 0.08935226313310968))), 'pot blue ball into top_left pocket directly')
((('cue', (0.4859862288028184, 1.9242757307441214)), ('yellow', (0.23523829701527363, 1.0919665953556883)), ('blue', (0.4124112910103792, 0.41447831146841974)), ('red', (0.556312569992699, 1.6466898921260484))), 'pot red ball into middle_left pocket directly')
((('cue', (0.08423273188939273, 1.795756382625017)), ('yellow', (0.11935084267259927, 0.8787628190393426)), ('red', (0.11491740791667227, 1.1436010739579596)), ('blue', (0.652676002997376, 1.2885965922889282))), 'pot red ball into top_left pocket with a bank shot')
((('cue', (0.06605269683881439, 1.216434968632974)), ('blue', (0.5908023339034348, 1.7979360203936061)), ('red', (0.09213871194488973, 1.0191572869825292)), ('yellow', (0.5100974534854843, 0.2907268796400364))), 'pot blue ball into middle_left pocket with a bank shot')
((('cue', (0.5412058701282301, 1.0798267472075695)), ('red', (0.5577843599340455, 0.7780338792923154)), ('blue', (0.2237612752199663, 0.3450675818076341)), ('yellow', (0.7869624598373908, 0.6851954198095096))), 'pot yellow ball into middle_left pocket with a bank shot')
((('cue', (0.8068194289267415, 0.1687020771384024)), ('blue', (0.5073834336715759, 1.744319518541426)), ('yellow', (0.9304181879348989, 1.6851199946985946)), ('red', (0.7762835511234264, 0.4992774328720212))), 'pot red ball into bottom_right pocket indirectly')
((('cue', (0.8710029085496934, 1.1565079864121879)), ('blue', (0.3419060409662711, 0.6582337584090321)), ('yellow', (0.6130247332763236, 0.27629460892966595)), ('red', (0.8779185885811794, 1.7895186933095582))), 'pot red ball into bottom_right pocket indirectly')
((('cue', (0.3238552268438085, 0.33349030323147466)), ('red', (0.16504281059821924, 0.9462045489880129)), ('blue', (0.7711990664973478, 1.760440043413853)), ('yellow', (0.2480898813955044, 1.130387495859285))), 'pot blue ball into top_right pocket indirectly')
((('cue', (0.23681734066310112, 1.6172301787609538)), ('blue', (0.709297916015007, 1.5582442907754934)), ('yellow', (0.3251039192837446, 1.5603056032955411)), ('red', (0.20806083879531087, 1.077025840850576))), 'pot red ball into bottom_right pocket indirectly')
((('cue', (0.4127911215055323, 1.5053870443455253)), ('blue', (0.5074569045074571, 1.7078271354206476)), ('yellow', (0.6920922515000866, 0.30842559120990787)), ('red', (0.08814292930928415, 1.1568209015400839))), 'pot red ball into bottom_right pocket indirectly')
((('cue', (0.5975507737629449, 1.8116744208039726)), ('blue', (0.5573574965625118, 1.6625748324173721)), ('red', (0.23576435789616507, 0.494385136298357)), ('yellow', (0.340100674633124, 1.8154833163972675))), 'pot red ball into middle_right pocket with a bank shot')
((('cue', (0.7258428170517058, 1.3572720938137588)), ('red', (0.8147135247355727, 0.20876650987089176)), ('blue', (0.509062136900376, 1.276316938893387)), ('yellow', (0.21975060096930352, 0.6049804141351236))), 'pot yellow ball into middle_right pocket with a bank shot')
((('cue', (0.4958725125053106, 0.9327106210406517)), ('yellow', (0.8110443999180684, 0.8616941980550149)), ('blue', (0.04437679123084604, 1.5312386545495287)), ('red', (0.7361017414980473, 0.10209299024806232))), 'pot blue ball into middle_left pocket with a bank shot')
((('cue', (0.16460057771725395, 0.8940259356067602)), ('blue', (0.6840285750259821, 0.8018178845022312)), ('red', (0.8886426602455029, 1.16530378444302)), ('yellow', (0.7346168693254511, 0.5370139847838398))), 'pot red ball into top_left pocket with a bank shot')
((('cue', (0.17997536658441793, 0.7594177415586686)), ('red', (0.933506320284259, 0.6374788725030964)), ('blue', (0.5127110231473916, 0.6088939950034981)), ('yellow', (0.049804770019971016, 0.5495991288376252))), 'pot yellow ball into bottom_right pocket indirectly')
((('cue', (0.4976040632773485, 0.35644456936566604)), ('red', (0.15738838294894336, 0.3640313538082681)), ('blue', (0.3748396692570012, 0.1344169388402573)), ('yellow', (0.26470044040674323, 1.6032872703180625))), 'pot blue ball into bottom_left pocket indirectly')
((('cue', (0.8132808430163637, 0.29736332791749165)), ('blue', (0.9399797275878378, 1.7754438359283768)), ('yellow', (0.5024879215995613, 1.5602347854004552)), ('red', (0.6084419478326915, 0.21314873505590376))), 'pot yellow ball into bottom_left pocket with a bank shot')
((('cue', (0.11026907371672087, 0.6229872275235888)), ('blue', (0.7166266338864266, 1.5133646322774412)), ('yellow', (0.14767768806487677, 0.3513949924947942)), ('red', (0.9310007281996177, 1.397067445062539))), 'pot red ball into top_right pocket indirectly')
((('cue', (0.7096663189358614, 0.2581177369626746)), ('blue', (0.8189532080492548, 1.3999219635951268)), ('yellow', (0.22011373271227422, 1.7428679551943291)), ('red', (0.07599688640877111, 0.656577294722589))), 'pot blue ball into middle_left pocket with a bank shot')
((('cue', (0.15083715756755744, 1.710411745502856)), ('yellow', (0.6341401324590064, 0.7097942884117565)), ('red', (0.15047050043181182, 0.9330576524764135)), ('blue', (0.8349810649503435, 0.4612643723353672))), 'pot blue ball into bottom_right pocket indirectly')
((('cue', (0.059153915434740786, 0.7521673055400852)), ('blue', (0.7428143599199203, 1.810796752073197)), ('yellow', (0.2999999840591273, 1.324294032893374)), ('red', (0.6754100832215467, 1.8700046799111125))), 'pot blue ball into middle_left pocket with a bank shot')
((('cue', (0.4359045904228408, 1.3145327812189034)), ('yellow', (0.9062971635545661, 0.2362745951841787)), ('blue', (0.7594678253356477, 0.19944362209620686)), ('red', (0.0858646561092743, 1.907462895910852))), 'pot red ball into middle_right pocket with a bank shot')
((('cue', (0.13995451142062826, 0.321213141223032)), ('red', (0.12283645947024029, 0.19318280323095177)), ('yellow', (0.49937444557566524, 1.3056373014241442)), ('blue', (0.8439180410637735, 1.661570314265058))), 'pot blue ball into top_right pocket with a bank shot')
((('cue', (0.28859765175501034, 1.235241814687693)), ('blue', (0.7837190964205254, 1.6718269625167805)), ('red', (0.6383072036209252, 0.8892145777494075)), ('yellow', (0.14663594112119782, 0.2206222416026526))), 'pot red ball into bottom_left pocket indirectly')
((('cue', (0.4970234838835883, 1.7108378286360748)), ('red', (0.9467401859531618, 0.7439120065105939)), ('yellow', (0.7681323269055275, 1.3454493142368367)), ('blue', (0.07196650808451971, 1.7554518674986204))), 'pot red ball into bottom_right pocket indirectly')
((('cue', (0.35712309435058276, 0.32253508886942683)), ('red', (0.5966260154459754, 1.6043715955387268)), ('yellow', (0.36785327708094206, 0.3992206866084266)), ('blue', (0.6451583248990902, 0.48838716698004037))), 'pot yellow ball into top_left pocket directly')
((('cue', (0.4337503930892377, 0.908779215663194)), ('red', (0.8579687263869732, 0.5957798367830759)), ('yellow', (0.7297861996445671, 0.24794859068241937)), ('blue', (0.1793493592273988, 1.7731159901886864))), 'pot blue ball into top_left pocket with a bank shot')
((('cue', (0.8152945421782556, 0.8603648906174879)), ('yellow', (0.5777927822940688, 0.6177719032278143)), ('red', (0.6524190537104028, 1.4583343355786282)), ('blue', (0.9269989678770816, 0.47221537049668516))), 'pot yellow ball into middle_right pocket indirectly')
((('cue', (0.5822827803446946, 1.7691094484605574)), ('blue', (0.2231562014866191, 1.698649285808853)), ('red', (0.5405388377542428, 0.11973948936457333)), ('yellow', (0.8395358657282063, 1.2013971211728864))), 'pot red ball into middle_left pocket with a bank shot')
((('cue', (0.36783792280934235, 0.5047743390035028)), ('red', (0.3330486759986637, 1.4457899411765227)), ('blue', (0.1770447624197761, 1.4144854837005556)), ('yellow', (0.5491485929091604, 0.6963999035251554))), 'pot yellow ball into middle_right pocket directly')
((('cue', (0.07505916606211216, 1.0985816953443552)), ('red', (0.3512026785828294, 1.2391070516224303)), ('blue', (0.360695523670587, 1.0762381883953918)), ('yellow', (0.8929584781910362, 0.23002007969174398))), 'pot blue ball into top_left pocket indirectly')
((('cue', (0.12016759783918185, 0.20329702009865597)), ('red', (0.6378813927660152, 0.9353586408033062)), ('blue', (0.3201089519993634, 0.08076143227589226)), ('yellow', (0.12895460077899815, 1.5193016849612684))), 'pot red ball into middle_right pocket directly')
((('cue', (0.0526650337851785, 1.3527295733687061)), ('yellow', (0.08737792058185698, 1.8885164824968286)), ('red', (0.3838819267248258, 1.3109767617455208)), ('blue', (0.14964096843208455, 1.0040406565732118))), 'pot yellow ball into middle_left pocket with a bank shot')
((('cue', (0.11460864311763991, 1.8334817882777488)), ('blue', (0.2553186447451862, 1.6204250463784324)), ('yellow', (0.9258445184953756, 1.5745585448294297)), ('red', (0.04567823451051602, 1.176237254681927))), 'pot red ball into bottom_left pocket directly')
((('cue', (0.494890400766244, 0.6207080574215695)), ('blue', (0.4223283367497088, 0.3092494062368467)), ('yellow', (0.45230399378739594, 1.328590388277591)), ('red', (0.5799716360962007, 0.6929176175805832))), 'pot blue ball into bottom_right pocket with a bank shot')
((('cue', (0.09877841150919685, 0.8867611294414678)), ('blue', (0.8044221566172024, 0.47539224743532926)), ('red', (0.27213868624346954, 1.7446739359746284)), ('yellow', (0.5092204690317765, 0.7214132451596887))), 'pot red ball into middle_right pocket with a bank shot')
((('cue', (0.06328992159844357, 0.9868003631223854)), ('red', (0.25367260364710686, 1.5837332246794564)), ('blue', (0.18207119845864195, 0.5535886187338687)), ('yellow', (0.7793721908481864, 0.45731848077390447))), 'pot blue ball into top_left pocket indirectly')
((('cue', (0.7827817391760665, 0.9564018686755827)), ('red', (0.1503216560772906, 0.07731139664939723)), ('yellow', (0.237996141198542, 1.4950952417003687)), ('blue', (0.7235079085158699, 1.2113532449876212))), 'pot yellow ball into top_left pocket indirectly')
((('cue', (0.8080630140198446, 1.2245877727438919)), ('red', (0.6326732465342755, 1.0785826022033371)), ('blue', (0.18617690868047881, 1.7320570012338876)), ('yellow', (0.4995462073793797, 1.8858588976717063))), 'pot red ball into middle_left pocket with a bank shot')
((('cue', (0.757901211053346, 0.4514707938456324)), ('red', (0.1893087965849142, 0.5010262422719204)), ('blue', (0.5287127485428929, 1.545939921984089)), ('yellow', (0.5750706204407703, 0.06342574764305611))), 'pot yellow ball into top_left pocket indirectly')
((('cue', (0.5550264865733195, 0.36764110994111576)), ('blue', (0.38903602807008597, 0.5309806705850485)), ('yellow', (0.7664128848098477, 0.1197276343345177)), ('red', (0.06591923583187928, 0.7341551254056203))), 'pot blue ball into bottom_right pocket with a bank shot')
((('cue', (0.9466653582769923, 0.0627659654321735)), ('blue', (0.917870417675934, 0.5032674970168114)), ('red', (0.5825616275341416, 1.5945917767442783)), ('yellow', (0.3707911538322358, 1.0690418900781342))), 'pot blue ball into top_left pocket with a bank shot')
((('cue', (0.806770503468589, 0.7169080293209946)), ('red', (0.5520972493996263, 0.8737978600490033)), ('blue', (0.6061984088400554, 1.1568353883574614)), ('yellow', (0.07352722992081094, 1.7291483928995697))), 'pot red ball into bottom_left pocket with a bank shot')
((('cue', (0.16666433013325083, 1.7966903750072156)), ('blue', (0.6191046434880334, 1.400183767237101)), ('yellow', (0.3921210279152557, 0.7200395954866194)), ('red', (0.5389782469876259, 1.797377009211527))), 'pot yellow ball into bottom_right pocket directly')
((('cue', (0.789411168053972, 1.879507066745988)), ('yellow', (0.297721297016699, 1.7505531196654502)), ('red', (0.5191192586612204, 0.30846087017664414)), ('blue', (0.9258471760045007, 0.6198460887513768))), 'pot red ball into bottom_left pocket with a bank shot')
((('cue', (0.4141023712969474, 1.5107630931668405)), ('yellow', (0.6308060460603663, 1.3976420467996673)), ('red', (0.319675878085687, 0.7719302891012446)), ('blue', (0.24348610448686375, 1.779089681476036))), 'pot yellow ball into bottom_right pocket directly')
