(12517, ((('cue', (0.42341723804622844, 1.6467973038347226)), ('blue', (0.5945423787537737, 1.2873853619345628)), ('yellow', (0.7444210487653565, 0.48212063936219884)), ('red', (0.09132448343103261, 0.7484127350981361))), 'pot blue ball into bottom_left pocket with a bank shot')), Success: True
(3381, ((('cue', (0.46449257761266227, 0.47106650373465264)), ('red', (0.6412492658341642, 0.6136052093521738)), ('yellow', (0.5897935375697047, 1.060135626021243)), ('blue', (0.3413374530951967, 0.12952463720090043))), 'pot yellow ball into bottom_right pocket with a bank shot')), Success: True
(5792, ((('cue', (0.39598042494222363, 0.35877074090382466)), ('red', (0.6660116884589723, 0.15713107979115942)), ('yellow', (0.19112226532162715, 0.2208732311380195)), ('blue', (0.8555751284574189, 0.9543182322548683))), 'pot red ball into top_left pocket indirectly')), Success: True
(3507, ((('cue', (0.1344276579101714, 1.0830412808173708)), ('yellow', (0.5510779920365164, 0.5102919649864928)), ('red', (0.10203196156738817, 0.13200248721809021)), ('blue', (0.6184758488722827, 1.8491701591393463))), 'pot red ball into middle_right pocket with a bank shot')), Success: False
(11603, ((('cue', (0.3244278384673881, 1.167942588916762)), ('yellow', (0.6406393234385093, 1.523492546212043)), ('red', (0.8785680104836029, 1.130341884167016)), ('blue', (0.12295314832876793, 1.8124474306658414))), 'pot yellow ball into middle_right pocket with a bank shot')), Success: False
(12251, ((('cue', (0.16165180617808605, 0.4995984721790646)), ('yellow', (0.6648773818688838, 0.9633681730939991)), ('red', (0.18496945841619755, 0.40008389719960835)), ('blue', (0.42629436279110633, 1.4860362309291517))), 'pot blue ball into bottom_right pocket with a bank shot')), Success: False
(10700, ((('cue', (0.24768164247915972, 1.5714625535745335)), ('red', (0.07224507616391782, 0.16309132713050384)), ('blue', (0.20143696061107766, 0.5310053204907272)), ('yellow', (0.23615863531580672, 1.7007733014694997))), 'pot yellow ball into middle_right pocket with a bank shot')), Success: False
(10563, ((('cue', (0.9454294442589735, 1.4314174312405565)), ('yellow', (0.3388858363267343, 0.9386314102701736)), ('blue', (0.33186701079898917, 1.7890116665882394)), ('red', (0.21762470979876603, 0.9397720966924356))), 'pot yellow ball into top_right pocket with a bank shot')), Success: False
(585, ((('cue', (0.6130095636469177, 0.6305498220866219)), ('blue', (0.6960180553108325, 0.7279072621548275)), ('red', (0.4739186401023008, 0.8774089247550816)), ('yellow', (0.19760885273246315, 1.225847006279042))), 'pot red ball into top_right pocket directly')), Success: True
(9645, ((('cue', (0.6394997298562247, 1.015109517032382)), ('yellow', (0.3527971666508877, 0.13661808890861732)), ('red', (0.3627347947443398, 1.035969581749122)), ('blue', (0.7802398767147822, 0.8481087897082235))), 'pot blue ball into top_right pocket indirectly')), Success: True
(1490, ((('cue', (0.6486009250296482, 0.5003012719916602)), ('blue', (0.4302960788003495, 0.11814756737866228)), ('red', (0.5670576475153355, 0.35384693954944124)), ('yellow', (0.28506393990432477, 1.419909678992929))), 'pot yellow ball into bottom_left pocket indirectly')), Success: False
(7758, ((('cue', (0.7607715437198195, 0.8081204820515681)), ('yellow', (0.619374664005381, 0.16694332356230424)), ('red', (0.7261333892446895, 1.2301804404789038)), ('blue', (0.47938190849341966, 0.20934455000538893))), 'pot red ball into top_right pocket directly')), Success: True
(10840, ((('cue', (0.10950052924607863, 0.3683730492208104)), ('red', (0.4618618019966062, 1.3464576948831688)), ('blue', (0.44397310487928654, 0.6326477115704539)), ('yellow', (0.5519173601625635, 1.5599016302849533))), 'pot blue ball into bottom_right pocket indirectly')), Success: False
(8248, ((('cue', (0.8678748732756708, 0.5401125727229489)), ('red', (0.6324073394867182, 0.8686305334331723)), ('yellow', (0.7587453353582592, 0.6738173263717122)), ('blue', (0.21690901045921895, 0.6031638025862159))), 'pot red ball into bottom_right pocket with a bank shot')), Success: False
(11368, ((('cue', (0.9353532191123698, 0.7519786929406029)), ('yellow', (0.2916881331654908, 1.2652648941949565)), ('red', (0.6462462908073893, 1.038147299338392)), ('blue', (0.45576567843157956, 1.8826323293340719))), 'pot blue ball into top_right pocket with a bank shot')), Success: False
(12920, ((('cue', (0.7714965624157977, 0.8483968272543404)), ('blue', (0.7530470752274645, 0.6668678339842663)), ('red', (0.42514369285825737, 0.30072643738551086)), ('yellow', (0.7475358279259219, 1.5093896164095968))), 'pot red ball into bottom_right pocket with a bank shot')), Success: True
(8302, ((('cue', (0.13066300726101476, 1.5502444664630084)), ('blue', (0.6971277587493049, 1.1476641247468629)), ('red', (0.8158017773605224, 0.36024163425201305)), ('yellow', (0.7974533744481309, 1.373980460192272))), 'pot yellow ball into bottom_right pocket directly')), Success: False
(6780, ((('cue', (0.3266506708628373, 1.584590113447788)), ('red', (0.3103892569902358, 1.3522497791423478)), ('yellow', (0.6621803471529719, 1.6254201275918423)), ('blue', (0.8180451301684158, 1.8425577823652959))), 'pot red ball into bottom_left pocket indirectly')), Success: True
(1057, ((('cue', (0.5517853680705754, 0.4456903838282271)), ('yellow', (0.10060626741936443, 1.2629726476145526)), ('blue', (0.23648491954509976, 1.9199299659047953)), ('red', (0.07549587490432783, 1.9066372760175425))), 'pot blue ball into middle_right pocket with a bank shot')), Success: False
(11466, ((('cue', (0.3143759148553872, 1.666917124613523)), ('red', (0.9221817896230012, 0.4164110985966538)), ('blue', (0.5540654001284088, 1.4802369645958229)), ('yellow', (0.7558178972232439, 1.5502431160490242))), 'pot blue ball into top_right pocket with a bank shot')), Success: True
(658, ((('cue', (0.3269500172062553, 0.5523949854210571)), ('red', (0.5989225600263796, 0.6380025486442797)), ('yellow', (0.4970218485008838, 0.20255854878708676)), ('blue', (0.5021236956255773, 1.2125979122141661))), 'pot red ball into bottom_left pocket with a bank shot')), Success: True
(6132, ((('cue', (0.46216791155017223, 1.3521295494962113)), ('blue', (0.7363503969897619, 1.0868590706296366)), ('red', (0.7418282890222042, 1.6517813013978095)), ('yellow', (0.9237773529619365, 0.8075135440712548))), 'pot red ball into middle_left pocket with a bank shot')), Success: False
(6743, ((('cue', (0.2557456032403741, 1.2922908708433256)), ('blue', (0.30805729227815637, 1.6633803619034397)), ('yellow', (0.9284804571855457, 0.2153330917698555)), ('red', (0.3629152254046609, 0.5127728452044724))), 'pot red ball into bottom_left pocket indirectly')), Success: True
(5835, ((('cue', (0.500953837797801, 1.7171067275657053)), ('yellow', (0.12050218655561398, 1.3119700920715005)), ('red', (0.24868207109412654, 0.558699389366908)), ('blue', (0.18307993809031722, 1.7431986513709659))), 'pot yellow ball into bottom_left pocket with a bank shot')), Success: True
(10661, ((('cue', (0.10349047961589738, 0.6357739471059443)), ('red', (0.6522739089576784, 0.669225956847593)), ('yellow', (0.14823399697252765, 1.494570847887803)), ('blue', (0.34056728956189664, 0.3741989418696495))), 'pot yellow ball into top_left pocket indirectly')), Success: True
(10960, ((('cue', (0.5974958164553206, 0.7525517030464001)), ('yellow', (0.4306587233810607, 1.4535588413648683)), ('red', (0.6890816765612211, 1.3266703324588298)), ('blue', (0.4724306935750615, 0.7322452544813097))), 'pot yellow ball into bottom_left pocket with a bank shot')), Success: True
(84, ((('cue', (0.059153915434740786, 0.7521673055400852)), ('blue', (0.7428143599199203, 1.810796752073197)), ('yellow', (0.2999999840591273, 1.324294032893374)), ('red', (0.6754100832215467, 1.8700046799111125))), 'pot blue ball into middle_left pocket with a bank shot')), Success: False
(10327, ((('cue', (0.7358902318919397, 0.08199228544805226)), ('blue', (0.2925127047503676, 0.4411422401023646)), ('yellow', (0.7719879800509508, 0.8370144303087919)), ('red', (0.4602068735209617, 0.3173903977501089))), 'pot yellow ball into middle_right pocket directly')), Success: True
(7596, ((('cue', (0.5284422188306921, 0.08839304833815848)), ('red', (0.131609113922769, 0.48715505956300775)), ('blue', (0.1501886033563914, 1.1481625384655803)), ('yellow', (0.07475809990312177, 1.0723570348044362))), 'pot red ball into middle_left pocket directly')), Success: False
(9824, ((('cue', (0.6270232108828393, 1.698801580186261)), ('red', (0.8435826093617989, 1.4205370107402346)), ('yellow', (0.10198532508383717, 0.9575622029847202)), ('blue', (0.7350635724668152, 1.4609248871577984))), 'pot blue ball into bottom_right pocket directly')), Success: True
(1050, ((('cue', (0.8297547913539565, 0.9289437432402841)), ('yellow', (0.8108796401107912, 1.4677282863606764)), ('red', (0.3834774813330041, 1.0954321238996785)), ('blue', (0.8243719223334307, 1.2108911894075793))), 'pot yellow ball into top_right pocket with a bank shot')), Success: True
(7436, ((('cue', (0.3222002117230789, 0.44183095808654593)), ('red', (0.3061281503952774, 1.3669140056712754)), ('blue', (0.3368159773465865, 1.1603857633082932)), ('yellow', (0.645117239718491, 0.042943244237269175))), 'pot red ball into middle_right pocket with a bank shot')), Success: False
(10183, ((('cue', (0.19896714257920012, 1.024620335736267)), ('blue', (0.296308879152667, 1.4951049179179452)), ('red', (0.5828542137928637, 1.8785107360431856)), ('yellow', (0.598249871248166, 0.28828123057968663))), 'pot blue ball into top_right pocket indirectly')), Success: True
(944, ((('cue', (0.7021313865103318, 1.268402207598685)), ('blue', (0.6186868198770871, 0.2677391008106659)), ('red', (0.7481432510075712, 1.7512176485047846)), ('yellow', (0.6477614901683085, 1.2489502435799007))), 'pot yellow ball into bottom_left pocket indirectly')), Success: True
(11292, ((('cue', (0.4715669584532056, 1.8676222438434484)), ('yellow', (0.4108777232219962, 1.6213651078030453)), ('blue', (0.20893630430009125, 1.3235964447355568)), ('red', (0.8793883613772313, 1.1729431652915185))), 'pot red ball into bottom_left pocket with a bank shot')), Success: True
(4180, ((('cue', (0.28028165450720505, 1.4560725325499133)), ('blue', (0.23066689426430265, 0.6533469627447465)), ('red', (0.16240187258951072, 1.921367357915452)), ('yellow', (0.16022995954209096, 1.2414642717427793))), 'pot blue ball into bottom_right pocket with a bank shot')), Success: False
(5388, ((('cue', (0.17761253664141916, 0.9461581211486103)), ('red', (0.7820977185065966, 0.8427639250120763)), ('yellow', (0.7196813934485972, 1.197988453051607)), ('blue', (0.1836753857374325, 1.1988236978446787))), 'pot red ball into bottom_right pocket with a bank shot')), Success: True
(1627, ((('cue', (0.3694186150752433, 1.3996526385007078)), ('blue', (0.2035336008082367, 1.301871558419227)), ('red', (0.2576793878197647, 1.773166751496544)), ('yellow', (0.7161253110672036, 0.2400250712062513))), 'pot blue ball into bottom_right pocket indirectly')), Success: True
(5371, ((('cue', (0.4077053037938957, 0.7511616652110997)), ('yellow', (0.6300440051363457, 0.19775855035036813)), ('red', (0.3889463162406598, 0.545426804008815)), ('blue', (0.6130198367220447, 1.5367148796912873))), 'pot red ball into bottom_right pocket indirectly')), Success: True
(732, ((('cue', (0.5085073994473758, 0.08377028320789276)), ('yellow', (0.8595372737129926, 0.9052267490570953)), ('blue', (0.7559627815563464, 1.7536501760859204)), ('red', (0.6652046246535547, 1.4597626147583904))), 'pot red ball into bottom_left pocket indirectly')), Success: True
(9913, ((('cue', (0.09524975268168906, 1.4305486521840853)), ('yellow', (0.18688682394545583, 1.7224140833349069)), ('blue', (0.8227688758700644, 1.0546674402181822)), ('red', (0.7240952038684364, 0.807261604126622))), 'pot red ball into middle_right pocket with a bank shot')), Success: True
(8426, ((('cue', (0.08347058196110393, 1.1401374092256413)), ('blue', (0.550225366324733, 0.5886831083300306)), ('red', (0.10819114434278543, 1.920094931184268)), ('yellow', (0.8909295286850938, 1.2797987334302987))), 'pot blue ball into middle_left pocket indirectly')), Success: True
(77, ((('cue', (0.16460057771725395, 0.8940259356067602)), ('blue', (0.6840285750259821, 0.8018178845022312)), ('red', (0.8886426602455029, 1.16530378444302)), ('yellow', (0.7346168693254511, 0.5370139847838398))), 'pot red ball into top_left pocket with a bank shot')), Success: True
(8708, ((('cue', (0.5927313317014722, 0.6682071369999348)), ('yellow', (0.2503044482781117, 1.8664857362463407)), ('blue', (0.848107638446683, 0.5000102301670618)), ('red', (0.6480129781834596, 0.47182388218980076))), 'pot blue ball into bottom_left pocket with a bank shot')), Success: True
(4029, ((('cue', (0.9215461971295766, 0.8331550276906743)), ('blue', (0.9094675888323075, 1.3236605655189884)), ('yellow', (0.45013097863319684, 1.295550295966716)), ('red', (0.8649153644239891, 1.8016588761805474))), 'pot yellow ball into bottom_left pocket with a bank shot')), Success: False
(11518, ((('cue', (0.4070709054484768, 1.1096630459145398)), ('yellow', (0.6526760864734996, 1.0565859713473473)), ('red', (0.6433515381951864, 0.1049260491179935)), ('blue', (0.07969816171440033, 0.8908438789684154))), 'pot blue ball into top_left pocket with a bank shot')), Success: True
(11571, ((('cue', (0.48642757384036484, 1.0205840516374074)), ('blue', (0.5651753629334496, 1.4271807013286497)), ('red', (0.7127463090963657, 0.4598952376423455)), ('yellow', (0.5855100226284282, 1.633679911897244))), 'pot blue ball into top_left pocket directly')), Success: True
(5900, ((('cue', (0.790062056332193, 1.7658742617267555)), ('red', (0.8449380780089691, 0.688824066377818)), ('yellow', (0.619858239704787, 1.4492917610895586)), ('blue', (0.4669508660171279, 0.6487220774710997))), 'pot yellow ball into top_right pocket indirectly')), Success: True
(1448, ((('cue', (0.6063807781208767, 1.4708679045890103)), ('red', (0.6121540618804617, 1.5689802183393804)), ('blue', (0.6673627736072789, 1.478703375829918)), ('yellow', (0.7859785029478692, 1.6729915159809499))), 'pot yellow ball into top_left pocket indirectly')), Success: False
(11846, ((('cue', (0.23834702142161784, 1.378172420091149)), ('red', (0.544291799178873, 0.9000771744049351)), ('yellow', (0.36696339924601695, 1.3870283946562787)), ('blue', (0.12259293633937607, 0.7433776379195389))), 'pot blue ball into top_right pocket indirectly')), Success: True
(11095, ((('cue', (0.6956165525897677, 1.251225402651459)), ('blue', (0.4072572031347863, 1.6852721409716305)), ('red', (0.45248466927813324, 0.8045949187482732)), ('yellow', (0.49447768734885567, 0.1341783923934506))), 'pot blue ball into bottom_right pocket indirectly')), Success: True
(5705, ((('cue', (0.24236398663635225, 0.12661375957146837)), ('yellow', (0.7432923090819908, 0.7208943962604331)), ('blue', (0.6573012059923584, 0.8640752255483962)), ('red', (0.20063580700466227, 1.474264864000464))), 'pot yellow ball into top_right pocket directly')), Success: True
(3766, ((('cue', (0.6515739274998092, 1.6029930932062597)), ('blue', (0.2750071260921141, 0.8719269988535251)), ('red', (0.7600370031070182, 0.29141346597032536)), ('yellow', (0.10381186647930168, 0.175577645464205))), 'pot yellow ball into bottom_left pocket directly')), Success: True
(7813, ((('cue', (0.4812657998465144, 1.7650516838149026)), ('blue', (0.27396672564843383, 0.2766981788246874)), ('yellow', (0.8486573558918223, 1.9024747513974183)), ('red', (0.12430112371552825, 0.9059058786065846))), 'pot yellow ball into bottom_left pocket indirectly')), Success: False
(11866, ((('cue', (0.43352406444311364, 1.3305930186225987)), ('red', (0.7991024268191601, 0.47823169145008293)), ('blue', (0.3215832774616859, 0.09189981289632637)), ('yellow', (0.5186789684812747, 0.455729968965053))), 'pot blue ball into bottom_right pocket with a bank shot')), Success: True
(12397, ((('cue', (0.37676910714978173, 0.20866428721081243)), ('red', (0.2622402040653673, 1.0667355793912157)), ('yellow', (0.5340703271204301, 1.2815234905210453)), ('blue', (0.5279057107787577, 0.6494121355033997))), 'pot blue ball into middle_right pocket directly')), Success: True
(1531, ((('cue', (0.7577289842964213, 1.2642125285263264)), ('yellow', (0.34640535864652267, 0.20411762632950106)), ('blue', (0.5142777239039137, 0.8746273758394298)), ('red', (0.895052166796683, 0.1364221376412137))), 'pot blue ball into bottom_left pocket with a bank shot')), Success: True
(2864, ((('cue', (0.19195466110305973, 1.0210569213938674)), ('blue', (0.22697105113024066, 0.7239299600770702)), ('yellow', (0.7192091919187086, 1.2264847873336693)), ('red', (0.641673726825972, 1.1719575335880654))), 'pot blue ball into top_right pocket with a bank shot')), Success: False
(9945, ((('cue', (0.8321244539111315, 1.5841148827010725)), ('blue', (0.47130442248808024, 1.9190318529586106)), ('yellow', (0.38123464412117747, 1.7217855243335443)), ('red', (0.06251056226966831, 1.5735987946580179))), 'pot red ball into top_right pocket indirectly')), Success: False
(4612, ((('cue', (0.05345079452233967, 1.6375788213139126)), ('blue', (0.5788167844467563, 1.1444865325131346)), ('red', (0.3857305455961402, 1.510582204122396)), ('yellow', (0.18544537482381593, 1.2770714662041704))), 'pot yellow ball into top_right pocket with a bank shot')), Success: False
(10918, ((('cue', (0.5400243008016838, 1.4124425957748536)), ('yellow', (0.21400525397891643, 0.7089362752202312)), ('blue', (0.06297201759410273, 1.1513978142918186)), ('red', (0.27789689053926686, 1.4349480671815955))), 'pot yellow ball into top_left pocket indirectly')), Success: False
(10237, ((('cue', (0.8448856585062243, 1.254694405087336)), ('yellow', (0.6930771367208521, 0.21818630264063482)), ('red', (0.6766685607947132, 1.1948526127587038)), ('blue', (0.33414461428281295, 1.1074468670064799))), 'pot red ball into top_left pocket indirectly')), Success: False
(1619, ((('cue', (0.4806594779161577, 1.2699813937880229)), ('blue', (0.06817609466261794, 0.31111590865661254)), ('red', (0.2760626316528327, 1.4720046230184156)), ('yellow', (0.2375355362207696, 0.9389765091778501))), 'pot blue ball into bottom_left pocket with a bank shot')), Success: False
(4140, ((('cue', (0.5238559261289354, 1.1935835974138078)), ('red', (0.6656696967174759, 1.2884055722352976)), ('yellow', (0.06518020569086344, 0.7821144352654006)), ('blue', (0.2147006252319484, 1.5796356000038665))), 'pot blue ball into top_left pocket with a bank shot')), Success: True
(2243, ((('cue', (0.13536153671864665, 1.881308664296775)), ('blue', (0.44050890324124714, 0.5713731304793845)), ('red', (0.5181370855975588, 0.20718092644872646)), ('yellow', (0.7436013792032364, 0.9920166646285278))), 'pot blue ball into top_left pocket with a bank shot')), Success: True
(9480, ((('cue', (0.36500973439294193, 1.8822815767159278)), ('red', (0.11215128251087854, 0.9231581219777237)), ('yellow', (0.8118441726642822, 0.8252668640603086)), ('blue', (0.26101884717601237, 1.8965747716778698))), 'pot red ball into middle_left pocket with a bank shot')), Success: True
(608, ((('cue', (0.16659262361658023, 0.9561029157341515)), ('blue', (0.5924543197547756, 0.8952906263877125)), ('red', (0.33894298970550396, 1.2834071684272854)), ('yellow', (0.902862023614459, 0.6765213886847127))), 'pot yellow ball into top_left pocket with a bank shot')), Success: False
(7037, ((('cue', (0.6540749971154088, 1.8600011670705576)), ('yellow', (0.1483136821414539, 1.8705265044706867)), ('blue', (0.1851424887062555, 1.6814739524935147)), ('red', (0.5790091868939683, 1.501139156506783))), 'pot red ball into bottom_right pocket indirectly')), Success: True
(11807, ((('cue', (0.8590789552999144, 0.38523174321526166)), ('yellow', (0.7534451850933096, 0.19113951210881897)), ('red', (0.06275697498554704, 1.002715214412976)), ('blue', (0.06293649055726766, 1.4342617315720756))), 'pot blue ball into middle_right pocket with a bank shot')), Success: False
(7984, ((('cue', (0.5579042355986671, 0.891387328105954)), ('yellow', (0.20888793351556223, 1.777394808526674)), ('blue', (0.8303107181337263, 0.7331538482258962)), ('red', (0.12292933347842606, 1.9362402470171693))), 'pot red ball into top_right pocket indirectly')), Success: False
(2350, ((('cue', (0.4522135902121528, 1.5880139134364462)), ('red', (0.7341118511007231, 1.7346032647921026)), ('yellow', (0.5620309807773053, 0.4556329135013415)), ('blue', (0.3263269478771812, 1.509482931443858))), 'pot blue ball into middle_left pocket directly')), Success: True
(6360, ((('cue', (0.28487072550335535, 0.7210458790542098)), ('red', (0.12927735604954085, 0.3433279213035568)), ('yellow', (0.7826862298347284, 1.0261905359022947)), ('blue', (0.5865914600109339, 1.4958684407981953))), 'pot yellow ball into top_left pocket with a bank shot')), Success: True
(7159, ((('cue', (0.8098678348032161, 0.4967166207908513)), ('blue', (0.5906941436090779, 1.2185745981424303)), ('yellow', (0.7754896069254011, 1.7741410391872674)), ('red', (0.5251148951071997, 0.9479466447334085))), 'pot blue ball into top_left pocket with a bank shot')), Success: True
(6912, ((('cue', (0.8883832709056139, 0.3290947800262324)), ('blue', (0.84955086049121, 1.8601563177659124)), ('red', (0.5049639573057382, 1.8219122687693328)), ('yellow', (0.36175686475896585, 0.9452190456798754))), 'pot yellow ball into middle_left pocket directly')), Success: True
(11308, ((('cue', (0.295895118520893, 1.8139345540591039)), ('red', (0.5679802570513025, 1.8260027983647737)), ('yellow', (0.12631257051181277, 1.4635517477076052)), ('blue', (0.3783669231693876, 1.063037454298913))), 'pot red ball into top_right pocket directly')), Success: True
(8603, ((('cue', (0.4872168180503609, 1.1733280218458324)), ('yellow', (0.6670771107234076, 1.8204108845400508)), ('blue', (0.08292851215758679, 1.2042508918498025)), ('red', (0.2946632697826287, 0.7858955146219772))), 'pot yellow ball into bottom_left pocket with a bank shot')), Success: False
(3128, ((('cue', (0.6557584484056088, 1.7060961884606192)), ('red', (0.4789162596036054, 1.2571815055546034)), ('yellow', (0.7664130608283272, 1.5355485969447442)), ('blue', (0.4454501455347454, 0.3386565546348014))), 'pot yellow ball into bottom_left pocket indirectly')), Success: True
(9579, ((('cue', (0.4943019836085889, 0.5873455946086338)), ('blue', (0.9241718030900051, 0.3991566296753635)), ('yellow', (0.4789286918044914, 0.16686062594852427)), ('red', (0.6799281797802587, 1.1896746055285856))), 'pot red ball into bottom_right pocket indirectly')), Success: False
(9678, ((('cue', (0.6260558732168902, 0.1893783883261164)), ('yellow', (0.5554965794276581, 1.6648597650226808)), ('blue', (0.10916616616681378, 0.8821932748072928)), ('red', (0.18682252143106737, 0.9229012858124168))), 'pot blue ball into middle_left pocket directly')), Success: True
(1430, ((('cue', (0.17920275373151096, 0.09963629069456048)), ('yellow', (0.8198640472475843, 1.7299939542612475)), ('blue', (0.7622590621169724, 0.842339481432743)), ('red', (0.7927551372870205, 1.824889318480494))), 'pot blue ball into top_left pocket directly')), Success: True
(54, ((('cue', (0.8908121857750102, 0.45794135420698323)), ('yellow', (0.33379836745077673, 1.8757257969984553)), ('blue', (0.596541407033345, 0.9274389109209626)), ('red', (0.9723593989807255, 1.5725118916999496))), 'pot blue ball into bottom_left pocket indirectly')), Success: True
(8906, ((('cue', (0.06717390160150269, 1.521583697370406)), ('blue', (0.19865283244045445, 0.6056607293261459)), ('red', (0.41850661000585854, 1.8646742602354809)), ('yellow', (0.5338243684541902, 0.7146990134058887))), 'pot blue ball into top_right pocket indirectly')), Success: True
(12348, ((('cue', (0.6131632044610137, 0.7889106276207043)), ('yellow', (0.38180329415711056, 0.967318777707224)), ('blue', (0.9379496609999222, 1.175468204134109)), ('red', (0.4106601629101082, 0.8874650786874245))), 'pot yellow ball into top_right pocket with a bank shot')), Success: False
(818, ((('cue', (0.5010625428579502, 1.6803277139199657)), ('yellow', (0.06129019063342278, 1.2531945112348473)), ('red', (0.42572440542577805, 1.098830297000503)), ('blue', (0.7077263309891026, 0.45364693576548865))), 'pot blue ball into middle_right pocket with a bank shot')), Success: True
(3527, ((('cue', (0.6791146463577064, 0.9132929349785964)), ('yellow', (0.7258409363241927, 1.0861827941485702)), ('blue', (0.30541142839657065, 1.4740628427278546)), ('red', (0.6970108570673662, 0.5578046714540283))), 'pot blue ball into bottom_right pocket indirectly')), Success: False
