(('cue ball', (0.607227924427877, 0.3639508342770152)), ('purple', (0.7466241744812925, 1.7356740293138002)), ('blue', (0.12957429539285503, 0.9657499888490775)))
(('cue ball', (0.4095398198936009, 0.09874425929043364)), ('black', (0.2682845770550372, 1.9308341625071883)), ('orange', (0.7760951595286577, 1.17829028296333)))
(('cue ball', (0.5048582761049719, 0.2881787985993652)), ('red', (0.5670016520838375, 1.506719239337943)), ('yellow', (0.8637707219479598, 1.3192136857944934)))
(('cue ball', (0.21718203233790512, 0.5592436068135377)), ('purple', (0.37546401069463364, 0.15335894537645745)), ('yellow', (0.03977079535720028, 0.17670122809499025)))
(('cue ball', (0.8891168455012556, 0.1013885066064715)), ('black', (0.10835601304163879, 0.9765523049608202)), ('green', (0.4423101143751082, 0.04807639285497879)))
(('cue ball', (0.6735659145495556, 0.9505163249474059)), ('red', (0.8955263142031238, 0.5079904760810741)), ('black', (0.7184282655918728, 1.5525277862154119)))
(('cue ball', (0.42316355783754384, 0.21969897753101839)), ('orange', (0.7349901462827945, 1.6635217037451508)), ('purple', (0.6619848513383709, 0.3193024135209552)))
(('cue ball', (0.48001905638738884, 1.2340116546212994)), ('green', (0.44352583535968865, 1.7261098645232509)), ('orange', (0.08954015908313588, 1.6153582246023601)))
(('cue ball', (0.11537095524770982, 1.6673154055157777)), ('black', (0.3274814689951324, 0.5019583046581605)), ('maroon', (0.4495656919054485, 0.44926829690600223)))
(('cue ball', (0.1051699409755481, 0.6369121899012395)), ('purple', (0.6528643931558844, 1.3181732649549152)), ('red', (0.644884045051458, 1.1858210300433252)))
(('cue ball', (0.8527615022746837, 1.2328873501096007)), ('red', (0.41079374313389544, 0.036172068591635916)), ('purple', (0.5441404422512509, 1.6644699251379984)))
(('cue ball', (0.1533949965729326, 0.16520398415773008)), ('orange', (0.29695202101036833, 0.29597803128490036)), ('purple', (0.06058702650830815, 0.681850244863963)))
(('cue ball', (0.11082827197227102, 1.6337984870412117)), ('blue', (0.6110612786549694, 0.7083747026600014)), ('green', (0.42718952224323337, 0.07074569081832185)))
(('cue ball', (0.770058245119474, 1.6064503987478898)), ('maroon', (0.14058762769470293, 0.6935989668321713)), ('red', (0.03251303135240895, 0.41640293485733465)))
(('cue ball', (0.4158594978241531, 1.881909310889955)), ('green', (0.05729075014994123, 0.31045789484197284)), ('orange', (0.9605371544412329, 0.7425926503303121)))
(('cue ball', (0.2190997917563556, 1.5156269655425358)), ('green', (0.695661232715626, 0.6661736040634488)), ('black', (0.5525459708030908, 1.3407327762397587)))
(('cue ball', (0.4282059264033951, 1.5337463762618226)), ('yellow', (0.9572677183375617, 0.8916338522488299)), ('blue', (0.4580478002888162, 1.9179690593298508)))
(('cue ball', (0.6685933037738904, 1.7066283160034474)), ('green', (0.7483641482446525, 0.2452430220130188)), ('yellow', (0.3970895182707622, 0.817275776697104)))
(('cue ball', (0.48326806429312, 0.655572048259602)), ('green', (0.07924671322003421, 0.8472865127985608)), ('yellow', (0.8513030927744666, 1.4610808500193913)))
(('cue ball', (0.13702968178721267, 0.2783753709264541)), ('green', (0.6818644045957022, 1.211732469992701)), ('blue', (0.28772759139512394, 1.7734947109864228)))
(('cue ball', (0.2835050317577631, 1.0839358780745576)), ('black', (0.12140966414612761, 0.08261377893221403)), ('purple', (0.6796613010351481, 0.8084367804430469)))
(('cue ball', (0.9533257021074634, 1.437716398152532)), ('red', (0.3977388452784529, 0.1583175619134248)), ('blue', (0.5412331304633544, 0.19387003963905267)))
(('cue ball', (0.7303853482826276, 0.4749214980988649)), ('green', (0.345631001651758, 0.7119562044525214)), ('blue', (0.44014577863698967, 1.6909489859038371)))
(('cue ball', (0.9529693323639967, 1.7143877425457188)), ('yellow', (0.4417470707082433, 0.9164244368622044)), ('green', (0.763253881851216, 0.09644652123860128)))
(('cue ball', (0.9521380007914919, 0.16186372095732635)), ('red', (0.7462704321194376, 1.5439747462393465)), ('orange', (0.28215123533245384, 0.9844737165986572)))
(('cue ball', (0.16582070687976033, 1.534812999921265)), ('red', (0.30605746309318727, 0.8088502057158938)), ('black', (0.6530851997163459, 0.34010558329146495)))
(('cue ball', (0.8957584608337866, 1.2293614240867639)), ('maroon', (0.27409174470135045, 0.44615181738809434)), ('red', (0.11060383046317954, 0.25764762559204113)))
(('cue ball', (0.3960952029801262, 1.6206335057694556)), ('orange', (0.22231487947649922, 1.6266291944468187)), ('maroon', (0.8112058224415125, 0.40179337126248005)))
(('cue ball', (0.3849508829428092, 1.219184110791882)), ('blue', (0.7364759117924203, 1.303980758716819)), ('red', (0.4478327530985894, 0.21265987964674643)))
(('cue ball', (0.48509438355920353, 0.6670962605629402)), ('green', (0.8488323479848037, 0.2700959481578677)), ('black', (0.6164304203045637, 1.4864076529629806)))
(('cue ball', (0.08567664325456503, 0.6969741471786982)), ('red', (0.43110618680566637, 1.5638369256851528)), ('orange', (0.6302033889802141, 0.9715239328131542)))
(('cue ball', (0.460494495950144, 0.5577646776479346)), ('maroon', (0.03798230662310312, 0.7450620405052436)), ('orange', (0.5259453022150676, 1.3066901046278248)))
(('cue ball', (0.1806433554650505, 0.3135151827110634)), ('black', (0.30671222159714606, 0.313637000972414)), ('orange', (0.945250053374751, 0.051001453229276086)))
(('cue ball', (0.4445951876575319, 0.09629884999450584)), ('purple', (0.18445427630952527, 1.5883953745605108)), ('red', (0.5732440449932917, 0.5427789971102173)))
(('cue ball', (0.11622592273725219, 1.015057133806067)), ('yellow', (0.04645935567013522, 0.3734668161985554)), ('green', (0.4286170414671778, 0.90810420350889)))
(('cue ball', (0.6448846893946281, 0.8926791258118889)), ('red', (0.6447002004111193, 0.297042040806067)), ('blue', (0.8434501748555476, 0.5935020187401516)))
(('cue ball', (0.05632386073553072, 0.0969830152767014)), ('black', (0.604954981033338, 1.6824113091626833)), ('yellow', (0.17090765140650013, 1.6621461493811978)))
(('cue ball', (0.03243892565722657, 0.2577891524597869)), ('maroon', (0.8720369260183279, 0.15286224830520637)), ('orange', (0.04034736420014214, 0.06215059326169885)))
(('cue ball', (0.494932911640894, 0.982142271123593)), ('black', (0.08329464402855702, 0.9243523723023522)), ('red', (0.7778242638595051, 1.2458149547954243)))
(('cue ball', (0.19218243037463698, 0.6278358093991263)), ('purple', (0.5284333318094194, 0.3820539112837724)), ('maroon', (0.7110505131083041, 1.632175097507044)))
(('cue ball', (0.5423533184737219, 1.4402354307855907)), ('red', (0.7820855078627627, 0.23141037882256144)), ('orange', (0.313389498569785, 0.15079111088991812)))
(('cue ball', (0.4386068207052915, 0.30703791128076174)), ('blue', (0.07969501466810203, 0.053532811446898476)), ('purple', (0.177193630282439, 0.1027623308539725)))
(('cue ball', (0.9263214253963742, 1.1978252445193838)), ('green', (0.8925229021562359, 0.5719025561039394)), ('black', (0.40691920469130816, 1.2212343679430695)))
(('cue ball', (0.13072668227673884, 0.7590573598742513)), ('orange', (0.4279665227179125, 1.0274565052453735)), ('yellow', (0.5647904755153572, 0.730855574207089)))
(('cue ball', (0.8920083105579919, 0.6993682269960332)), ('maroon', (0.36540158634741876, 1.57886826432641)), ('green', (0.1925020982403261, 1.5038892664628192)))
(('cue ball', (0.7342616052305891, 0.29976977517498493)), ('blue', (0.1622311331333256, 0.831707521954111)), ('purple', (0.425660646452568, 0.8117199303092261)))
(('cue ball', (0.1553337473785464, 1.376561942582422)), ('green', (0.08060566369147783, 1.194008780456156)), ('yellow', (0.9223457892618128, 0.9473940410709325)))
(('cue ball', (0.8973630325085529, 1.2014297454070366)), ('purple', (0.1931395419175393, 1.4251207811400044)), ('red', (0.5095725507221749, 0.04658360336202397)))
(('cue ball', (0.3502751020208781, 0.6866590280087513)), ('orange', (0.09754520624341381, 1.665739517021913)), ('yellow', (0.3636236037533519, 0.4948243182153384)))
(('cue ball', (0.055406901271673636, 0.6768060277108614)), ('maroon', (0.19729848766384642, 0.47646346617085067)), ('purple', (0.2929036829218629, 1.8730815076670844)))
(('cue ball', (0.8928167905602015, 0.18414886126067756)), ('blue', (0.7709390383715631, 1.3740276257981487)), ('black', (0.5142679992954367, 0.05545940026323584)))
(('cue ball', (0.4516056958062538, 1.5527208531835637)), ('purple', (0.8499908620318419, 0.2538998653514799)), ('orange', (0.7244682875614697, 1.5989547710431378)))
(('cue ball', (0.1701976461223006, 0.2949671036325381)), ('orange', (0.4270021019324347, 1.0241166141644975)), ('blue', (0.5795050367801987, 0.734265967105548)))
(('cue ball', (0.7414444793216157, 0.6709301929614663)), ('yellow', (0.9234861535096257, 0.8493568434710648)), ('green', (0.5025482045498284, 1.902110528261079)))
(('cue ball', (0.31537052440392355, 0.16479061002222062)), ('blue', (0.14392428564557594, 0.9611735897398055)), ('purple', (0.933900713882145, 1.3298361061769688)))
(('cue ball', (0.1925264781081356, 0.6355439189934914)), ('yellow', (0.09398000542689294, 0.8469778619653031)), ('red', (0.22429297686917696, 1.0924855221497063)))
(('cue ball', (0.6692309259449911, 0.4248832653057915)), ('maroon', (0.22897153436975523, 1.4954091527765834)), ('green', (0.7524336356881707, 1.4835230268178605)))
(('cue ball', (0.08636737534841912, 0.9345972782794628)), ('green', (0.9143171913319744, 0.06797227867217746)), ('maroon', (0.08433926771394834, 0.7845236282504084)))
(('cue ball', (0.1299489831392901, 1.2196332211770402)), ('purple', (0.4338601150475307, 1.6708776489256132)), ('maroon', (0.912494225556818, 1.5014043820407244)))
(('cue ball', (0.11040900300888985, 0.24663687365590548)), ('maroon', (0.2564216026152746, 1.8496349661621194)), ('black', (0.6470278733868449, 0.6648020942137894)))
(('cue ball', (0.4367590869318438, 0.5838313906600636)), ('purple', (0.14876312698632088, 1.008519533781671)), ('red', (0.808007683189746, 0.10798248473282136)))
(('cue ball', (0.4633635459707647, 0.6242816924435277)), ('red', (0.9388288787526772, 0.31857644371236415)), ('maroon', (0.29950156602781347, 1.7816288652059455)))
(('cue ball', (0.7390041518412332, 1.3582713941657978)), ('green', (0.4900065331318549, 1.6834150937359953)), ('yellow', (0.08736172231930824, 0.6319837611073981)))
(('cue ball', (0.47794144428682656, 0.8977551689513678)), ('black', (0.26094601314507604, 0.9673636079006181)), ('maroon', (0.7982288008404642, 1.7033889410970475)))
(('cue ball', (0.15940664920648465, 1.530381659729693)), ('blue', (0.2917043872291015, 0.2111037585778269)), ('black', (0.7347469691575224, 1.0526147829420165)))
(('cue ball', (0.9247088437179916, 1.547560633952014)), ('maroon', (0.10147355565646583, 0.950431333293733)), ('orange', (0.8472657075735462, 1.5655371009822407)))
(('cue ball', (0.8295603189572309, 0.38405724317727336)), ('blue', (0.21595018347631756, 0.10692550029825629)), ('purple', (0.46103876312064007, 1.916925752599604)))
(('cue ball', (0.3274741949098764, 0.835516368361396)), ('orange', (0.1691330943284891, 1.4786089747673392)), ('black', (0.86423055157377, 1.8807872596358506)))
(('cue ball', (0.4557624911658217, 1.389222386297501)), ('green', (0.48061150582220097, 0.45596141992198086)), ('maroon', (0.03697464756819305, 0.8254899239523333)))
(('cue ball', (0.6740986467723751, 0.29910375267281614)), ('blue', (0.7645407744618047, 1.0175724278163296)), ('orange', (0.05453147708414313, 1.9213194637004976)))
(('cue ball', (0.5468429129194465, 0.28578501985486027)), ('green', (0.9354382570653591, 0.8270194835544573)), ('red', (0.9022622406157655, 1.5152263932874348)))
(('cue ball', (0.17777143777832335, 1.841585166018244)), ('green', (0.4674537555785335, 0.5565438593731933)), ('black', (0.29910747708796326, 0.4983407721657198)))
(('cue ball', (0.11178298624974534, 1.7314803962368377)), ('black', (0.20229987451818818, 0.26811880165599006)), ('orange', (0.6890209013304329, 0.9301318281007166)))
(('cue ball', (0.4887172554882377, 1.1053278691583321)), ('orange', (0.4702382368772435, 1.4048202716289342)), ('purple', (0.08830949277035272, 0.4445693403081299)))
(('cue ball', (0.8284915245232679, 1.3099364314742972)), ('maroon', (0.8291042280604981, 1.8839278624284566)), ('green', (0.8318781765209434, 0.3184430586971516)))
(('cue ball', (0.2880747188002823, 0.15887906388868492)), ('orange', (0.49985040489992544, 0.18776245898724417)), ('purple', (0.6707324967355751, 0.8321981356249184)))
(('cue ball', (0.5698745147107224, 1.9334522426473397)), ('orange', (0.13948284147379572, 1.5936909918700546)), ('blue', (0.3648834945382587, 0.700389492217444)))
(('cue ball', (0.2440573143351366, 1.5639926941715325)), ('yellow', (0.2819154683293464, 1.1898849454335538)), ('blue', (0.5594333447138942, 0.10844775408133049)))
(('cue ball', (0.4132276469407708, 1.9445490499394802)), ('purple', (0.7298831388860572, 1.414074620034562)), ('green', (0.04422474621464568, 1.7248970805574595)))
(('cue ball', (0.4025996838974729, 1.556170787624718)), ('maroon', (0.8251250412802377, 1.2599695018531585)), ('black', (0.9131189411654221, 0.38417179536636525)))
(('cue ball', (0.8944702488329439, 0.49662505176517485)), ('maroon', (0.4585422504799302, 0.32236366704859953)), ('orange', (0.09643918600702879, 1.576765412639571)))
(('cue ball', (0.7114514781597908, 1.4369044702998823)), ('black', (0.13455690474364213, 0.3458467005844939)), ('red', (0.6494631699358686, 1.2971691879537628)))
(('cue ball', (0.43802326079284554, 1.0619238832673565)), ('red', (0.8094549824000538, 1.8327903279684585)), ('yellow', (0.7249053865843186, 1.4411987081314055)))
(('cue ball', (0.8281885482522672, 1.470670064588407)), ('green', (0.5008895312416145, 0.832220320028463)), ('orange', (0.7180514832610311, 1.5040479589479583)))
(('cue ball', (0.22858294218227435, 1.9327677112118378)), ('red', (0.1518204939608593, 0.926264079524859)), ('maroon', (0.40458775942207187, 0.39133309882702305)))
(('cue ball', (0.25617409150257064, 0.7585546153415963)), ('red', (0.07512483193212974, 1.5562214041649542)), ('blue', (0.6889948852536805, 0.8888117800589012)))
(('cue ball', (0.7856335847823211, 1.393930720451766)), ('black', (0.8059925642661329, 1.9426935766901325)), ('green', (0.103514396407402, 1.2376760381165133)))
(('cue ball', (0.9222136240338904, 1.3001698969569684)), ('blue', (0.4859755979521328, 1.105839279791283)), ('green', (0.7198441570274452, 1.6437656652630739)))
(('cue ball', (0.2056900260634121, 0.07018651042540922)), ('blue', (0.8186881158927564, 0.9755453805413291)), ('maroon', (0.8061506606764466, 0.4890634564450009)))
(('cue ball', (0.5503306949696544, 1.0620008728521555)), ('green', (0.4167524482235404, 1.884373502450726)), ('purple', (0.09689202693867201, 0.18811604068204243)))
(('cue ball', (0.37946146637585276, 0.8567220248890176)), ('orange', (0.5842815197686259, 1.3076954947134185)), ('black', (0.06030501026744457, 0.10771409309736617)))
(('cue ball', (0.453276480436518, 0.981840155533317)), ('green', (0.13121350932699832, 1.5139868756902677)), ('black', (0.8690650889330045, 1.5873414782712374)))
(('cue ball', (0.1055026052965152, 1.8609496276715574)), ('blue', (0.09105262757140807, 0.9943937896992983)), ('orange', (0.6653093003193152, 1.212612929015299)))
(('cue ball', (0.6937755131161797, 0.17913709942973985)), ('orange', (0.2730811467785926, 1.925564618926887)), ('red', (0.6104676121278954, 0.4604609545070742)))
(('cue ball', (0.7528511736894876, 1.717994149030662)), ('blue', (0.1994355828418475, 1.1165745347095088)), ('black', (0.7520769548240102, 1.8564581490125445)))
(('cue ball', (0.4466188698081829, 0.5323148259412012)), ('black', (0.37502540546486407, 1.3321944251741216)), ('maroon', (0.18083241291909763, 0.3529966383737821)))
(('cue ball', (0.4572644404497262, 1.184691103297052)), ('maroon', (0.948006802951367, 1.428961013319358)), ('purple', (0.4889261086272261, 0.8180536859365186)))
(('cue ball', (0.7173829246713308, 1.234915531893085)), ('orange', (0.6784053735990009, 0.24505259892390943)), ('yellow', (0.7112147270691692, 1.5626877294662815)))
(('cue ball', (0.34902183864888003, 1.2520587114771042)), ('yellow', (0.1141677408875473, 0.28778286070206605)), ('orange', (0.5977880577034703, 0.9903536296205645)))
(('cue ball', (0.6092103186659498, 0.3516900998125995)), ('purple', (0.9416291272182162, 0.20703305796107713)), ('blue', (0.07764246313278395, 1.289612055395089)))
(('cue ball', (0.27750944578079717, 1.887544403113578)), ('maroon', (0.7552275636194391, 1.716581899025179)), ('yellow', (0.710475569725398, 0.8959715635501941)))
(('cue ball', (0.7905291184427485, 0.8475373881938856)), ('blue', (0.7888107254477289, 1.8072290061335754)), ('maroon', (0.3633677350472083, 0.45441389781556213)))
(('cue ball', (0.5660636975461374, 1.191524378979454)), ('red', (0.5367520946590746, 0.84445176172387)), ('purple', (0.5457024721238194, 1.0001520334549274)))
(('cue ball', (0.5459160822434727, 0.5943220133966352)), ('maroon', (0.05271312010442938, 0.5246795971206697)), ('yellow', (0.39981040524587114, 1.384447228121889)))
(('cue ball', (0.14000848301894067, 1.3806100742363585)), ('purple', (0.31451662971351596, 1.1012035973011156)), ('red', (0.753237875682353, 1.6967000656065367)))
(('cue ball', (0.7356730600752273, 0.5551807491810695)), ('black', (0.2770017962034497, 0.09845711548911533)), ('orange', (0.18314431791595298, 0.6924620632223083)))
(('cue ball', (0.44965422207639555, 1.7517511999005426)), ('green', (0.1680423789227379, 1.4377396907173277)), ('black', (0.17005449442735068, 0.8870612477837349)))
(('cue ball', (0.07259548007900866, 0.3339776012947688)), ('maroon', (0.4751374048278895, 1.8754658093513263)), ('black', (0.25656790711928146, 0.5399841648251684)))
(('cue ball', (0.9061053528625651, 0.9246143752174334)), ('blue', (0.8395649321047567, 1.729699148706865)), ('red', (0.9003874139014622, 1.909375230135476)))
(('cue ball', (0.545153706826102, 1.0926561181821217)), ('red', (0.8718755284747786, 0.5510856178551482)), ('orange', (0.43857717755121656, 1.2004285597748554)))
(('cue ball', (0.8157651381917945, 1.3536839344611495)), ('purple', (0.16878827970922022, 0.6912533551222765)), ('red', (0.392605448489753, 0.8680470940935787)))
(('cue ball', (0.3033595312447021, 1.0107499517741987)), ('red', (0.8250202883961782, 0.6246590284136277)), ('maroon', (0.29207764943777825, 0.16210431355879817)))
(('cue ball', (0.2427474610828389, 0.6997146677235677)), ('purple', (0.5478877417105611, 1.937468965489336)), ('blue', (0.8162298041217138, 0.23892462876503076)))
(('cue ball', (0.4889681831726902, 0.40527274134616026)), ('green', (0.4649846654355962, 1.4424695535207377)), ('yellow', (0.5225811434883253, 1.0775384635472132)))
(('cue ball', (0.801940341638066, 0.4895215235276767)), ('orange', (0.12250305823380936, 0.8011861960970302)), ('green', (0.6250499296252757, 1.0372556231071524)))
(('cue ball', (0.5263377302530646, 1.2625316373133855)), ('orange', (0.3542142348034466, 1.0237803937987051)), ('black', (0.6526506532550101, 0.9682666283132626)))
(('cue ball', (0.6850333733825886, 0.7162199241060141)), ('yellow', (0.7855868327722534, 1.8304911559843993)), ('purple', (0.5146302898885725, 0.6989458228283874)))
(('cue ball', (0.893068702216171, 1.0638283824439132)), ('green', (0.3019371434362985, 0.4462378801011273)), ('black', (0.4116128445480656, 0.0954199820009674)))
(('cue ball', (0.11548085435333481, 1.1036901542221798)), ('yellow', (0.8526066333320409, 0.5824056454697991)), ('orange', (0.3257147920368473, 1.743702216113394)))
(('cue ball', (0.29494993649852236, 0.30411689637890604)), ('yellow', (0.6992467934004871, 1.0053669072342357)), ('purple', (0.7966507625548718, 0.2554804633025765)))
(('cue ball', (0.22337614209360532, 0.836957554869087)), ('green', (0.05253103390734899, 1.4726275871813637)), ('purple', (0.3784090404577443, 0.30027384858826645)))
(('cue ball', (0.06727693001653084, 1.2723859447803436)), ('green', (0.17936839152477405, 1.2777579507922616)), ('maroon', (0.5201988081946852, 1.912805248968482)))
(('cue ball', (0.9552114729141336, 0.7942772707250169)), ('red', (0.03826003019010731, 1.6451986005146633)), ('yellow', (0.9510707296653115, 1.5656736250743815)))
(('cue ball', (0.3208955440867137, 1.47269105914405)), ('purple', (0.930735879901066, 0.23014154127833503)), ('black', (0.3322343581257869, 0.3102051901776443)))
(('cue ball', (0.7608702479905798, 0.7006463454384123)), ('green', (0.7982542106880125, 0.13539397266114167)), ('red', (0.6312326507196308, 1.3148039699884941)))
(('cue ball', (0.7594995490115714, 1.5873186179378787)), ('red', (0.05864921854703938, 0.6101420731656082)), ('orange', (0.7959990328491005, 0.9136651915333913)))
(('cue ball', (0.9598805974179433, 1.6535599021252445)), ('red', (0.20380700552345019, 1.5100983967256878)), ('green', (0.15098874676316174, 1.9478043186258145)))
(('cue ball', (0.5033564533780133, 0.3126279831495077)), ('green', (0.9196017900159741, 1.14940673028349)), ('maroon', (0.9544672862504767, 0.3109571671647266)))
(('cue ball', (0.8243421744572821, 1.3800080723696517)), ('maroon', (0.34845212736955905, 1.672755242990514)), ('orange', (0.2815184902856258, 0.5666836061546274)))
(('cue ball', (0.6874288448582141, 1.5881222143984508)), ('yellow', (0.7520555721677938, 0.9748413907720042)), ('purple', (0.5174955063522606, 0.5314053893124053)))
(('cue ball', (0.3428327410367918, 1.7591588220528254)), ('purple', (0.34247349475868527, 1.877684640383831)), ('yellow', (0.034451483921177105, 0.3589757475688496)))
(('cue ball', (0.9469977377902928, 1.2335950655022652)), ('green', (0.41934705313800724, 0.761310899836595)), ('maroon', (0.720454426381701, 1.2912999392837974)))
(('cue ball', (0.7303605190196192, 0.5488925757163517)), ('red', (0.5439921541136467, 1.930751195146717)), ('green', (0.15203521932044653, 1.8444107690873424)))
(('cue ball', (0.2544724030578922, 0.6183535829019298)), ('blue', (0.5523000767010297, 1.8673542221610153)), ('purple', (0.6106854296761804, 0.31586764544807266)))
(('cue ball', (0.3964885181336996, 1.0447264101467606)), ('purple', (0.12674813048795472, 1.586921076005414)), ('black', (0.3312283745217473, 1.326958766434214)))
(('cue ball', (0.35040194818357195, 1.3692109555136547)), ('yellow', (0.4481749695339306, 1.52035771822236)), ('red', (0.8242461176525308, 0.837526346614082)))
(('cue ball', (0.8098886452018125, 0.4562218145502862)), ('yellow', (0.5567708167447886, 1.0982634424288569)), ('blue', (0.4823461413844457, 1.4739033263456962)))
(('cue ball', (0.21354165762180383, 1.2137501650983942)), ('green', (0.1306257383214196, 1.8667304949252652)), ('blue', (0.34439993902885974, 1.7354437547706043)))
(('cue ball', (0.6840562172267817, 0.5343068902553618)), ('orange', (0.116078309023128, 1.4000868051328919)), ('purple', (0.4639088507209357, 0.7296541270842)))
(('cue ball', (0.8700591209658028, 1.505772269705161)), ('blue', (0.5993103821163435, 0.5257729790119912)), ('red', (0.7933520845632683, 0.49935601084374664)))
(('cue ball', (0.2703017507902534, 0.3236030557382351)), ('yellow', (0.16801494610519138, 1.061520814305239)), ('blue', (0.7078372152475161, 1.3401018703137018)))
(('cue ball', (0.36792929887549897, 0.910312564355224)), ('orange', (0.08016583177304212, 1.8230366937610776)), ('red', (0.6523324960574006, 1.3708384697860179)))
(('cue ball', (0.8439837411299715, 0.1343459235523523)), ('maroon', (0.606423502733053, 1.1687428366555204)), ('orange', (0.6116758704547925, 1.3237291562364792)))
(('cue ball', (0.7079127192599639, 1.137307348338935)), ('blue', (0.8368628587161703, 1.8474109488268458)), ('yellow', (0.43243783753390014, 0.8678518221037397)))
(('cue ball', (0.7280389950461952, 0.27848510562547374)), ('yellow', (0.41049510079952634, 1.5893766469667499)), ('orange', (0.7830642966891024, 0.08902001324997748)))
(('cue ball', (0.5652688025418513, 0.35663917018692626)), ('purple', (0.6617216170041187, 1.1404766539060573)), ('maroon', (0.8295326590034107, 1.6672302096406706)))
(('cue ball', (0.43381487729348156, 1.7664973258426258)), ('orange', (0.8515030334757299, 0.9654978601694723)), ('black', (0.5609406887252716, 0.6510243579266497)))
(('cue ball', (0.09298111105921215, 0.7584892736323907)), ('green', (0.36845507343133826, 1.2029876644260111)), ('orange', (0.8527365396557322, 0.30812979243339605)))
(('cue ball', (0.25971191700313667, 0.2670875984268378)), ('red', (0.12463951784540059, 1.0662389837608348)), ('green', (0.4066632269507164, 1.7071268721759498)))
(('cue ball', (0.7786438197019522, 0.20332942660466852)), ('maroon', (0.12552621901599184, 0.4616158931602557)), ('black', (0.4416308153038416, 1.446543874830496)))
(('cue ball', (0.8094313591280644, 1.1509600998188245)), ('yellow', (0.5853369777365411, 1.1161929452939896)), ('blue', (0.7217644909964515, 1.240130153366532)))
(('cue ball', (0.6518163245095272, 0.992821586142906)), ('black', (0.6015243828849041, 0.4360386020341308)), ('orange', (0.4556508609150787, 1.292938349561986)))
(('cue ball', (0.4269341596940419, 0.250322909767932)), ('purple', (0.7554794741105781, 0.5550049747165693)), ('red', (0.2758968731110504, 0.34240259490524616)))
(('cue ball', (0.8883254485047297, 0.4663756955072885)), ('black', (0.39297566015038093, 1.1403234566749152)), ('green', (0.21535338651380578, 0.9853270596126508)))
(('cue ball', (0.5214004603951237, 0.4332205135568104)), ('yellow', (0.5036882155827778, 0.8309553021626459)), ('green', (0.861141249020982, 0.09743987742984613)))
(('cue ball', (0.5218885668564973, 1.0377897308549509)), ('red', (0.6123083656491236, 0.5794440220781281)), ('green', (0.9117538012104167, 1.3332591719529323)))
(('cue ball', (0.27208160261835107, 1.8770211891633641)), ('green', (0.19287617144445832, 0.6710350630858087)), ('black', (0.19054404757219892, 0.5666718320274403)))
(('cue ball', (0.18083190020540038, 1.5722706088272436)), ('black', (0.3685371732812021, 0.059483335690071484)), ('blue', (0.8174956939314795, 1.8441077662730285)))
(('cue ball', (0.9528138812111895, 0.43204948184097053)), ('black', (0.06261888902461266, 0.08099521593586617)), ('blue', (0.4417737995466579, 0.7827343151904033)))
